BRD4,FOSL2
BRD4,FOXO3
BRD4,FTH1
BRD4,FTL
BRD4,GALM
BRD4,GAPDH
BRD4,GATA3
BRD4,GBE1
BRD4,GBP2
BRD4,GBP4
BRD4,GBP5
BRD4,GDAP1
BRD4,GEN1
BRD4,GLCCI1
BRD4,GLCE
BRD4,GLUL
BRD4,GNAQ
BRD4,GPAT3
BRD4,GPC5
BRD4,GPCPD1
BRD4,GPD2
BRD4,GPR183
BRD4,GPRIN3
BRD4,GRAP2
BRD4,GSN
BRD4,GSTCD
BRD4,GSTP1
BRD4,GTDC1
BRD4,GZMA
BRD4,HDAC1
BRD4,HEPACAM2
BRD4,HERC5
BRD4,HERPUD1
BRD4,HESX1
BRD4,HHAT
BRD4,HIBADH
BRD4,HK2
BRD4,HLCS
BRD4,HMGB2
BRD4,HSP90B1
BRD4,HSPA5
BRD4,ICAM1
BRD4,ICOS
BRD4,ID1
BRD4,ID2
BRD4,IFI44
BRD4,IFI44L
BRD4,IFIT1
BRD4,IFIT2
BRD4,IFIT3
BRD4,IFNG-AS1
BRD4,IFNLR1
BRD4,IFRD1
BRD4,IFT74-AS1
BRD4,IL18R1
BRD4,IL18RAP
BRD4,IL1R1
BRD4,IL2RA
BRD4,IL2RB
BRD4,IL32
BRD4,IL4I1
BRD4,IL4R
BRD4,IL7R
BRD4,IMMP2L
BRD4,INO80
BRD4,INPP4B
BRD4,INVS
BRD4,IRF1
BRD4,IRF4
BRD4,IRF7
BRD4,IRF8
BRD4,IRS2
BRD4,ISG15
BRD4,ITGA6
BRD4,ITGB1
BRD4,ITM2C
BRD4,JAK2
BRD4,JAML
BRD4,JARID2
BRD4,JUN
BRD4,JUNB
BRD4,KANK1
BRD4,KAT5
BRD4,KAT8
BRD4,KDM1B
BRD4,KDM5D
BRD4,KIAA0825
BRD4,KIF1B
BRD4,KIF21A
BRD4,KSR1
BRD4,LAP3
BRD4,LEF1
BRD4,LEKR1
BRD4,LEPR
BRD4,LIMK2
BRD4,LIMS1
BRD4,LINC00476
BRD4,LINC00662
BRD4,LINC01550
BRD4,LINC01725
BRD4,LINC01934
BRD4,LINC02574
BRD4,LMAN1
BRD4,LMO4
BRD4,LRIG1
BRD4,LRIG2-DT
BRD4,LRRFIP2
BRD4,LRRN3
BRD4,LTA4H
BRD4,LTB
BRD4,LUCAT1
BRD4,LY96
BRD4,LYPLAL1-DT
BRD4,MAF
BRD4,MAML3
BRD4,MAN1A1
BRD4,MAP2K6
BRD4,MAP3K20
BRD4,MAPK8
BRD4,MAST4
BRD4,MB21D2
BRD4,MCM2
BRD4,MCM7
BRD4,MCU
BRD4,MED12
BRD4,MEGF9
BRD4,MICU1
BRD4,MIR155HG
BRD4,MIS18BP1
BRD4,MND1
BRD4,MOB1B
BRD4,MOB3B
BRD4,MPP6
BRD4,MT2A
BRD4,MTHFD1L
BRD4,MX1
BRD4,MX2
BRD4,MXD1
BRD4,MYC
BRD4,MYDGF
BRD4,NAMPT
BRD4,NARS2
BRD4,NCEH1
BRD4,NCR3
BRD4,NEDD4
BRD4,NELFA
BRD4,NETO2
BRD4,NFIA
BRD4,NFKB1
BRD4,NFKBIA
BRD4,NFKBIZ
BRD4,NLN
BRD4,NLRP3
BRD4,NME7
BRD4,NOP2
BRD4,NOTCH2
BRD4,NPL
BRD4,NR3C2
BRD4,NR4A1
BRD4,NR4A3
BRD4,NR6A1
BRD4,NRIP1
BRD4,NUBPL
BRD4,NUP50-DT
BRD4,ODC1
BRD4,OPA3
BRD4,OTUB2
BRD4,OTUD7B
BRD4,P2RX5
BRD4,PACRG
BRD4,PAK1
BRD4,PAM
BRD4,PARP14
BRD4,PARPBP
BRD4,PCLAF
BRD4,PCNA
BRD4,PCOTH
BRD4,PDE3B
BRD4,PDE4D
BRD4,PDE7B
BRD4,PDIA4
BRD4,PDLIM5
BRD4,PELI1
BRD4,PELI2
BRD4,PFN1
BRD4,PIGL
BRD4,PIGX
BRD4,PKIA
BRD4,PKIG
BRD4,PLAC8
BRD4,PLAGL1
BRD4,PLAUR
BRD4,PLEKHG2
BRD4,PLS1
BRD4,PLSCR1
BRD4,PLXNC1
BRD4,PMEPA1
BRD4,POLQ
BRD4,POT1-AS1
BRD4,POU2AF1
BRD4,POU2F2
BRD4,PPARGC1B
BRD4,PPCDC
BRD4,PPIB
BRD4,PPP1R13B
BRD4,PPP1R16B
BRD4,PRDM1
BRD4,PRF1
BRD4,PRKCQ
BRD4,PRKN
BRD4,PSAP
BRD4,PSIP1
BRD4,PSTPIP2
BRD4,PTPRE
BRD4,PTPRK
BRD4,PTPRM
BRD4,PYCR1
BRD4,PYHIN1
BRD4,QKI
BRD4,RAB30
BRD4,RALGPS2
BRD4,RASGEF1B
BRD4,RASGRF2
BRD4,REL
BRD4,RELA
BRD4,REST
BRD4,RFC3
BRD4,RGCC
BRD4,RGS1
BRD4,RGS2
BRD4,RHOB
BRD4,RILPL2
BRD4,RMDN2
BRD4,RNF144B
BRD4,RNF220
BRD4,RNF24
BRD4,RNLS
BRD4,RORA
BRD4,RPS4Y1
BRD4,RRP12
BRD4,RSPH3
BRD4,RTKN2
BRD4,RTN3
BRD4,RUFY4
BRD4,RUNX1
BRD4,S100A10
BRD4,S100A11
BRD4,S100A4
BRD4,S100A6
BRD4,SAMSN1
BRD4,SAT1
BRD4,SATB1-AS1
BRD4,SCO2
BRD4,SDF2L1
BRD4,SDK1
BRD4,SEC11C
BRD4,SEC22A
BRD4,SERPINB9
BRD4,SESN3
BRD4,SFXN5
BRD4,SGK1
BRD4,SGPP1
BRD4,SH2B3
BRD4,SIL1
BRD4,SIPA1L1
