Gene1,Gene2
ATF7,TMEM256
ATF7,TMEM53
ATF7,TMEM79
ATF7,TOP2A
ATF7,TP53INP2
ATF7,TRIM22
ATF7,TRIM28
ATF7,TRIM41
ATF7,TRIM7
ATF7,TSEN34
ATF7,TSHZ2
ATF7,TXLNB
ATF7,U2AF1L4
ATF7,UBXN1
ATF7,USF1
ATF7,USP35
ATF7,VIPR1
ATF7,VWC2
ATF7,WDR24
ATF7,WDR6
ATF7,WDR74
ATF7,WNT10A
ATF7,WRAP53
ATF7,WWOX
ATF7,YBX1
ATF7,YIF1B
ATF7,ZBBX
ATF7,ZBTB40
ATF7,ZEB1
ATF7,ZFAND2B
ATF7,ZFYVE1
ATF7,ZMAT5
ATF7,ZMYM1
ATF7,ZMYND12
ATF7,ZNF143
ATF7,ZNF207
ATF7,ZNF24
ATF7,ZNF274
ATF7,ZNF295-AS1
ATF7,ZNF319
ATF7,ZNF384
ATF7,ZNF408
ATF7,ZNF501
ATF7,ZNF524
ATF7,ZNF555
ATF7,ZNF571
ATF7,ZNF574
ATF7,ZNF600
ATF7,ZNF622
ATF7,ZNF625
ATF7,ZNF687
ATF7,ZNF732
ATF7,ZNF846
ATF7,ZZZ3
BACH1,ABHD16A
BACH1,ACAP3
BACH1,ACOT2
BACH1,ACP2
BACH1,AGPAT2
BACH1,AKR7A2
BACH1,ALDOC
BACH1,ALKBH4
BACH1,ANAPC11
BACH1,ANGPT1
BACH1,AP3S2
BACH1,AP5S1
BACH1,ARHGAP24
BACH1,ARHGEF17
BACH1,ASH2L
BACH1,ATF2
BACH1,ATF3
BACH1,ATF7
BACH1,B3GALT6
BACH1,BACH1
BACH1,BCLAF1
BACH1,BHLHE40
BACH1,BMP1
BACH1,C1QTNF6
BACH1,C22orf46
BACH1,C3orf36
BACH1,C6orf226
BACH1,C6orf99
BACH1,CA11
BACH1,CACNB3
BACH1,CBFB
BACH1,CBX3
BACH1,CBX5
BACH1,CCDC157
BACH1,CD83
BACH1,CDIP1
BACH1,CENPE
BACH1,CERCAM
BACH1,CHD1
BACH1,CHRNA5
BACH1,CITED2
BACH1,CLK3
BACH1,CLUAP1
BACH1,CNPY4
BACH1,COMMD9
BACH1,CORO6
BACH1,CREM
BACH1,CTCF
BACH1,CUX1
BACH1,CYP1B1
BACH1,DBNDD1
BACH1,DDIT3
BACH1,DENND6B
BACH1,E2F8
BACH1,E4F1
BACH1,EED
BACH1,EFNA5
BACH1,EGR3
BACH1,EIF2AK3
BACH1,ELAVL3
BACH1,ELF1
BACH1,ELOF1
BACH1,EMX1
BACH1,EOMES
BACH1,EP300
BACH1,EPB41L4B
BACH1,ESRRA
BACH1,ETS1
BACH1,EZH2
BACH1,FAM161B
BACH1,FAM219B
BACH1,FBXO15
BACH1,FBXW5
BACH1,FHOD3
BACH1,FKBP10
BACH1,FLT3LG
BACH1,FOS
BACH1,FOSB
BACH1,FOXK2
BACH1,FOXM1
BACH1,FZD5
BACH1,GAA
BACH1,GCHFR
BACH1,GDF9
BACH1,GEMIN7
BACH1,GLCCI1
BACH1,GRIN2A
BACH1,GS1-124K5.4
BACH1,HCG20
BACH1,HDAC2
BACH1,HENMT1
BACH1,HINT2
BACH1,HMGCL
BACH1,HSPA1A
BACH1,HSPA1B
BACH1,IBA57
BACH1,IL10
BACH1,IL12B
BACH1,IL4
BACH1,IMMP2L
BACH1,INO80B
BACH1,IPO4
BACH1,IRF4
BACH1,IRF5
BACH1,JTB
BACH1,JUNB
BACH1,KCTD16
BACH1,KDM1A
BACH1,KDM5A
BACH1,KDM7A
BACH1,LACTB2
