Gene1,Gene2
ARID1B,ZNF384
ARID1B,ZNF397
ARID1B,ZNF45
ARID1B,ZNF497
ARID1B,ZNF501
ARID1B,ZNF512
ARID1B,ZNF548
ARID1B,ZNF561
ARID1B,ZNF565
ARID1B,ZNF575
ARID1B,ZNF582
ARID1B,ZNF585A
ARID1B,ZNF593
ARID1B,ZNF596
ARID1B,ZNF616
ARID1B,ZNF619
ARID1B,ZNF620
ARID1B,ZNF638
ARID1B,ZNF644
ARID1B,ZNF649
ARID1B,ZNF655
ARID1B,ZNF691
ARID1B,ZNF740
ARID1B,ZNF75A
ARID1B,ZNF780A
ARID1B,ZNF799
ARID1B,ZNF830
ARID1B,ZNF862
ARID1B,ZRANB2
ARID1B,ZSCAN20
ARID1B,ZSCAN32
ARID2,ANKRD17
ARID2,BACH1-IT2
ARID2,CLUL1
ARID2,GORASP1
ARID2,GTF2H2
ARID2,HNRNPH1
ARID2,NDUFS3
ARID2,NME1-NME2
ARID2,PPP1R3B
ARID2,RBM34
ARID2,SSBP1
ARID2,TMCC2
ARID3A,AGA
ARID3A,ANKRD17
ARID3A,ANO8
ARID3A,COIL
ARID3A,CSDE1
ARID3A,CTH
ARID3A,DDX28
ARID3A,DHPS
ARID3A,ELF1
ARID3A,GTF2B
ARID3A,HBP1
ARID3A,HNRNPC
ARID3A,HSP90AB1
ARID3A,INTS5
ARID3A,MAF1
ARID3A,MED18
ARID3A,MYC
ARID3A,NME1-NME2
ARID3A,PHB2
ARID3A,PI4KA
ARID3A,PRAME
ARID3A,RABGAP1L
ARID3A,RBM39
ARID3A,RSRC1
ARID3A,SLC24A1
ARID3A,SLC25A45
ARID3A,SPTA1
ARID3A,SRF
ARID3A,TBL1X
ARID3A,TCF7L2
ARID3A,TNIK
ARID3A,TSHZ1
ARID3A,VWA5A
ARID3A,YIF1A
ARID3A,ZMIZ1
ARID3A,ZNF280B
ARID3A,ZNF3
ARID3B,NUP214
ARID3B,PI4KA
ARID3B,ZNF280B
ARID4B,ABHD16A
ARID4B,ACTL6B
ARID4B,ADAMTS3
ARID4B,ADK
ARID4B,AFF1
ARID4B,AGA
ARID4B,AGK
ARID4B,AGO1
ARID4B,AKAP9
ARID4B,AMER3
ARID4B,ANK1
ARID4B,ANKRD12
ARID4B,ANKRD37
ARID4B,ANO8
ARID4B,ANP32B
ARID4B,AP2S1
ARID4B,AP3S1
ARID4B,AP4B1
ARID4B,APOM
ARID4B,ARAP1
ARID4B,ASCC3
ARID4B,ASL
ARID4B,ATF2
ARID4B,ATF4
ARID4B,ATF6
ARID4B,AVPI1
ARID4B,BATF2
ARID4B,BBS10
ARID4B,BBS12
ARID4B,BCLAF1
ARID4B,BCORL1
ARID4B,BDP1
ARID4B,BECN1
ARID4B,BEX2
ARID4B,BIRC6
ARID4B,BLOC1S4
ARID4B,BNIP1
ARID4B,BOLA3
ARID4B,BPHL
ARID4B,BRAF
ARID4B,BRCA1
ARID4B,BRD9
ARID4B,BRF2
ARID4B,C11orf21
ARID4B,C16orf46
ARID4B,C16orf91
ARID4B,C19orf47
ARID4B,C1orf53
ARID4B,C4orf3
ARID4B,CACTIN
ARID4B,CALM3
ARID4B,CAMTA2
ARID4B,CAND2
ARID4B,CANX
ARID4B,CAPN5
ARID4B,CBFA2T3
ARID4B,CBX1
ARID4B,CBX5
ARID4B,CC2D1A
ARID4B,CCAR1
ARID4B,CCAR2
ARID4B,CCDC113
ARID4B,CCDC169
ARID4B,CCDC28A
ARID4B,CCDC71L
ARID4B,CCNT2
ARID4B,CCZ1B
ARID4B,CDC5L
ARID4B,CDC73
ARID4B,CDK4
ARID4B,CDKAL1
ARID4B,CENPBD1
ARID4B,CENPE
ARID4B,CEP192
ARID4B,CEP350
ARID4B,CERS6
ARID4B,CHCHD3
ARID4B,CHD9
ARID4B,CHPF
ARID4B,CLASP2
ARID4B,CLIC3
ARID4B,CLOCK
ARID4B,CLTC
ARID4B,CNEP1R1
ARID4B,CNOT4
ARID4B,COIL
ARID4B,COMMD5
ARID4B,COMTD1
ARID4B,CPED1
ARID4B,CPSF3
ARID4B,CREB3L1
ARID4B,CRELD1
ARID4B,CREM
ARID4B,CSDE1
ARID4B,CSTF2
ARID4B,CTCFL
ARID4B,CTH
ARID4B,CTNNB1
ARID4B,CUL1
ARID4B,CYB561A3
ARID4B,CYP2R1
ARID4B,CYP51A1
ARID4B,DDX10
ARID4B,DDX21
ARID4B,DDX39B
ARID4B,DDX49
ARID4B,DHPS
ARID4B,DHRS13
ARID4B,DHX9
ARID4B,DIAPH3
ARID4B,DIDO1
ARID4B,DMAP1
ARID4B,DNAAF1
ARID4B,DNAH14
ARID4B,DNMT1
ARID4B,DSN1
ARID4B,DUSP23
ARID4B,DYRK1A
ARID4B,E2F1
ARID4B,E2F4
ARID4B,E2F5
ARID4B,E2F6
ARID4B,E2F8
ARID4B,E4F1
ARID4B,ECH1
ARID4B,EEF2
ARID4B,EFCAB12
ARID4B,EFCAB5
ARID4B,EIF3A
ARID4B,EIF5A2
ARID4B,EIF5B
ARID4B,ELF1
ARID4B,ELF2
ARID4B,EME1
